2025-06-02 02:32:38.268 | INFO     | __main__:scrape_products:40 - Scraped product 61: Gaming Laptop 16" Ultra-Slim - Intel Core i5-(Up to 3.5GHz), 12GB DDR4 + 512GB SSD, 1920x1200 IPS 16:10 Display, WiFi 6 & BT5.0, HDMI/Type-C - Aluminum Windows 11 Home Laptop for Work & Play
2025-06-02 02:32:38.272 | INFO     | __main__:scrape_products:40 - Scraped product 62: 2025 Laptop, Laptop with AMD Ryzen 7 6800H (8C/16T, Up to 4.7GHz), 16GB DDR5 512GB NVMe SSD Laptop Computer, 16-inch FHD Display, WiFi 6, Backlit KB
2025-06-02 02:32:38.275 | INFO     | __main__:scrape_products:40 - Scraped product 63: ASUS TUF Gaming A16 Laptop -16inch WUXGA Display 165Hz 100% sRGB - AMD Ryzen7 7735HS Beat i7-12650H - AMD Radeon RX7600S Beat RTX 4060-32GB RAM - 2TB PCIe SSD - Backlit Keyboard - HDMI Cable
2025-06-02 02:32:38.279 | INFO     | __main__:scrape_products:40 - Scraped product 64: ASUS TUF Gaming A16 (2024) Copilot+ PC Gaming Laptop, 16 16:10 165Hz Display, AMD Ryzen™ AI 9 HX 370, NVIDIA® GeForce RTX™ 4060, 16GB LPDDR5X, 1TB PCIe Gen 4.0 SSD, Wi-Fi 6E, Windows 11, FA608WV-DB94
2025-06-02 02:32:38.280 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:38.280 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:46.004 | INFO     | __main__:scrape_products:29 - Scraping page 5
2025-06-02 02:32:46.025 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:46.026 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:46.030 | INFO     | __main__:scrape_products:40 - Scraped product 65: Laptop Computer,15.6'' FHD Display Laptop with AMD Ryzen 7 5825U Processor(8C/16T,Up to 4.5Hz), 16GB DDR4x2 512GB SSD Notebook Computer with Numeric Keyboard, WIFI6
2025-06-02 02:32:46.033 | INFO     | __main__:scrape_products:40 - Scraped product 66: Asus TUF Gaming A16 Laptop 16" FHD+ 165Hz 7ms 100% sRGB AMD Octa-core Ryzen 7 7735HS 32GB RAM 1TB SSD Radeon RX 7600S 8GB Graphics (>RTX 4060) Backlit USB-C USB4 Fast Charging Win11 +HDMI Cable
2025-06-02 02:32:46.037 | INFO     | __main__:scrape_products:40 - Scraped product 67: HP Victus 15.6" Full HD 144Hz Gaming Laptop, Intel Core i5-12450H, NVIDIA GeForce RTX 3050,16GB RAM, 512GB PCIe SSD, Wi-Fi 6, Backlit Keyboard,Windows 11 Pro, Performance Blue
2025-06-02 02:32:46.040 | INFO     | __main__:scrape_products:40 - Scraped product 68: ASUS Vivobook Go 15.6” Slim Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Home, Cool Silver, Military Grade Durability, Fast Charging, Webcam Shield, E1504FA-AS54
2025-06-02 02:32:46.044 | INFO     | __main__:scrape_products:40 - Scraped product 69: HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)
2025-06-02 02:32:46.047 | INFO     | __main__:scrape_products:40 - Scraped product 70: 16-inch Gaming Laptop, 16GB DDR4, 512GB SSD, Intel N95, Windows 11, Backlit Keyboard, 1920P IPS Display
